"value1","value2","range","description"
"9","9","False","CA_descriptor"
"64","64","False","network_name_descriptor"
"65","65","False","service_list_descriptor"
"66","66","False","stuffing_descriptor"
"67","67","False","satellite_delivery_system_descriptor"
"68","68","False","cable_delivery_system_descriptor"
"69","69","False","VBI_data_descriptor"
"70","70","False","VBI_teletext_descriptor"
"71","71","False","bouquet_name_descriptor"
"72","72","False","service_descriptor"
"73","73","False","country_availability_descriptor"
"74","74","False","linkage_descriptor"
"75","75","False","NVOD_reference_descriptor"
"76","76","False","time_shifted_service_descriptor"
"77","77","False","short_event_descriptor"
"78","78","False","extended_event_descriptor"
"79","79","False","time_shifted_event_descriptor"
"80","80","False","component_descriptor"
"81","81","False","mosaic_descriptor"
"82","82","False","stream_identifier_descriptor"
"83","83","False","CA_identifier_descriptor"
"84","84","False","content_descriptor"
"85","85","False","parental_rating_descriptor"
"86","86","False","teletext_descriptor"
"87","87","False","telephone_descriptor"
"88","88","False","local_time_offset_descriptor"
"89","89","False","subtitling_descriptor"
"90","90","False","terrestrial_delivery_system_descriptor"
"91","91","False","multilingual_network_name_descriptor"
"92","92","False","multilingual_bouquet_name_descriptor"
"93","93","False","multilingual_service_name_descriptor"
"94","94","False","multilingual_component_descriptor"
"95","95","False","private_data_specifier_descriptor"
"96","96","False","service_move_descriptor"
"97","97","False","short_smoothing_buffer_descriptor"
"98","98","False","frequency_list_descriptor"
"99","99","False","partial_transport_stream_descriptor"
"100","100","False","data_broadcast_descriptor"
"101","101","False","scrambling_descriptor"
"102","102","False","data_broadcast_id_descriptor"
"103","103","False","transport_stream_descriptor"
"104","104","False","DSNG_descriptor"
"105","105","False","PDC_descriptor"
"106","106","False","AC-3_descriptor"
"107","107","False","ancillary_data_descriptor"
"108","108","False","cell_list_descriptor"
"109","109","False","cell_frequency_link_descriptor"
"110","110","False","announcement_support_descriptor"
"111","111","False","application_signalling_descriptor"
"112","112","False","adaptation_field_data_descriptor"
"113","113","False","service_identifier_descriptor"
"114","114","False","service_availability_descriptor"
"115","115","False","default_authority_descriptor"
"116","116","False","related_content_descriptor"
"117","117","False","TVA_id_descriptor"
"118","118","False","content_identifier_descriptor"
"119","119","False","time_slice_fec_identifier_descriptor"
"120","120","False","ECM_repetition_rate_descriptor"
"121","121","False","S2_satellite_delivery_system_descriptor"
"122","122","False","enhanced_AC-3_descriptor"
"123","123","False","DTS descriptor"
"124","124","False","AAC descriptor"
"125","125","False","XAIT location descriptor"
"126","126","False","FTA_content_management_descriptor"
"127","127","False","extension descriptor"
"128","254","True","user defined 0x80 to 0xFE"
"255","255","False","forbidden"
