"value1","value2","range","description"
"0","0","False","ITU-T | ISO/IEC Reserved"
"1","1","False","ISO/IEC 11172 Video"
"2","2","False","ITU-T Rec. H.262 | ISO/IEC 13818-2 Video or ISO/IEC 11172-2 constrained parameter video stream"
"3","3","False","ISO/IEC 11172 Audio"
"4","4","False","ISO/IEC 13818-3 Audio"
"5","5","False","ITU-T Rec. H.222.0 | ISO/IEC 13818-1 private_sections"
"6","6","False","ITU-T Rec. H.222.0 | ISO/IEC 13818-1 PES packets containing private data"
"7","7","False","ISO/IEC 13522 MHEG"
"8","8","False","ITU-T Rec. H.222.0 | ISO/IEC 13818-1 Annex A DSM-CC"
"9","9","False","ITU-T Rec. H.222.1"
"10","10","False","ISO/IEC 13818-6 type A"
"11","11","False","ISO/IEC 13818-6 type B"
"12","12","False","ISO/IEC 13818-6 type C"
"13","13","False","ISO/IEC 13818-6 type D"
"14","14","False","ITU-T Rec. H.222.0 | ISO/IEC 13818-1 auxiliary"
"15","15","False","ISO/IEC 13818-7 Audio with ADTS transport syntax"
"15","16","False","ISO/IEC 14496-2 Visual"
"17","17","False","ISO/IEC 14496-3 Audio with the LATM transport syntax as defined in ISO/IEC 14496-3 / AMD 1"
"18","18","False","ISO/IEC 14496-1 SL-packetized stream or FlexMux stream carried in PES packets"
"19","19","False","ISO/IEC 14496-1 SL-packetized stream or FlexMux stream carried in ISO/IEC14496_sections"
"20","20","False","ISO/IEC 13818-6 Synchronized Download Protocol"
"21","21","False","Metadata carried in PES packets"
"22","22","False","Metadata carried in metadata_sections"
"23","23","False","Metadata carried in ISO/IEC 13818-6 Data Carousel"
"24","24","False","Metadata carried in ISO/IEC 13818-6 Object Carousel"
"25","25","False","Metadata carried in ISO/IEC 13818-6 Synchronized Download Protocol"
"26","26","False","IPMP stream (defined in ISO/IEC 13818-11, MPEG-2 IPMP)"
"27","27","False","AVC video stream as defined in ITU-T Rec. H.264 | ISO/IEC 14496-10 Video"
"28","126","True","0x1C-0x7E ITU-T Rec. H.222.0 | ISO/IEC 13818-1 Reserved"
"127","127","False","IPMP stream"
"128","255","True","0x80-0xFF User Private"
